register,variable_name,documented_name,unit,data_type,values,,writable,read_interval,note
11.b6,resetsetting_bmsdischgswon,ResetSetting_BMSDischgSWOn,6,1bit,,,R,,
11.b7,resetsetting_invreboot,ResetSetting_InvReboot,7,1bit,0-1,,W,,0-null 1- restart inverter
12.b0,time_year,Time_Year,,8bit,17-255,,W,,inverter time-year
12.b8,time_month,Time_Month,,8bit,46034,,W,,inverter time-month
13.b0,time_date,Time_Date,,8bit,46053,,W,,inverter time-day
13.b8,time_hour,Time_Hour,,8bit,0-23,,W,,inverter time-hour
14.b0,time_minute,Time_Minute,,8bit,0-59,,W,,inverter time-minute
14.b8,time_second,Time_Second,,8bit,0-59,,W,,inverter time-second
15,com_addr,Com Addr,,,0-150,,W,,MODBUS address
16,language,Language,,,"{""0"":""English"",""1"":""German""}",,W,,0-English 1-German Language 0-English 1-German
19,register_19,Register 19,,ushort,0-65535,,R,,Unknown
20,pvinputmodel,PVInputModel,,,0-4,,W,,0: No PV plug in 1: PV1 plug in 2: PV2 plug in 3: two PVs in parallel 4: two separate PVs
21.b0,funcen_epsen,FuncEn_EPSEn,0,1bit,0-1,,W,,Off-grid mode enable
21.b1,funcen_ovfloadderateen,FuncEn_OVFLoadDerateEn,1,1bit,0-1,,W,,Overfrequency load reduction enable
21.b2,funcen_drmsen,FuncEn_DRMSEn,2,1bit,0-1,,W,,DRMS enable
21.b3,funcen_lvrten,FuncEn_LVRTEn,3,1bit,0-1,,W,,Low voltage ride-through enable
21.b4,funcen_antiislanden,FuncEn_AntiIslandEn,4,1bit,0-1,,W,,Anti-islanding enablement
21.b5,funcen_neutraldetecten,FuncEn_NeutralDetectEn,5,1bit,0-1,,W,,Ground neutral detection enable
21.b6,funcen_gridonpowerssen,FuncEn_GridOnPowerSSEn,6,1bit,0-1,,W,,On-grid power soft start enable
21.b7,funcen_acchargeen,FuncEn_ACChargeEn,7,1bit,0-1,,W,,AC charging enable
21.b8,funcen_swseamlesslyen,FuncEn_SWSeamlesslyEn,8,1bit,0-1,,W,,seamless off-grid mode switching enable
21.b9,funcen_settostandby,FuncEn_SetToStandby,9,1bit,0-1,,W,,0: Standby 1: Power on
21.b10,funcen_forceddischgen,FuncEn_ForcedDischgEn,10,1bit,0-1,,W,,Forced discharge enable
21.b11,funcen_forcedchgen,FuncEn_ForcedChgEn,11,1bit,0-1,,W,,Force charge enable
21.b12,funcen_isoen,FuncEn_ISOEn,12,1bit,0-1,,W,,ISO enable
21.b13,funcen_gfcien,FuncEn_GFCIEn,13,1bit,0-1,,W,,GFCI enable
21.b14,funcen_dcien,FuncEn_DCIEn,14,1bit,0-1,,W,,DCI enable
21.b15,funcen_feedingriden,FuncEn_FeedInGridEn,15,1bit,0-1,,W,,0-disable 1-enable
22,startpvvolt,StartPVVolt,0.1V,,900-5000,,W,,PV start-up voltage
23,connecttime,ConnectTime,s,,30-600,,W,,Waiting time of on-grid
24,reconnecttime,ReconnectTime,s,,0-900,,W,,Waiting time of Reconnect on- gird
25,gridvoltconnlow,GridVoltConnLow,0.1V,,According to specific regulatory requirements,,WD,,The lower limit of the allowed on-grid voltage.
26,gridvoltconnhigh,GridVoltConnHigh,0.1V,,According to specific regulatory requirements,,WD,,The upper limit of the the allowed on-grid voltage.
27,gridfreqconnlow,GridFreqConnLow,0.01Hz,,According to specific regulatory requirements,,WD,,The lower limit of the allowable on-grid frequency
28,gridfreqconnhigh,GridFreqConnHigh,0.01Hz,,According to specific regulatory requirements,,WD,,The upper limit of the the allowed on-grid frequency.
29,gridvoltlimit1low,GridVoltLimit1Low,0.1V,,According to specific regulatory requirements,,WD,,Grid voltage level 1 under-voltage protection point
30,gridvoltlimit1high,GridVoltLimit1High,0.1V,,According to specific regulatory requirements,,WD,,Grid voltage level 1 over-voltage protection point
31,gridvoltlimit1lowtime,GridVoltLimit1LowTime,cycles,,According to specific regulatory requirements,,WD,,Grid voltage level 1 under-voltage protection time
32,gridvoltlimit1hightime,GridVoltLimit1HighTime,cycles,,According to specific regulatory requirements,,WD,,Grid voltage level 1 over-voltage protection time
33,gridvoltlimit2low,GridVoltLimit2Low,0.1V,,According to specific regulatory requirements,,WD,,Grid voltage level 2 under-voltage protection point
34,gridvoltlimit2high,GridVoltLimit2High,0.1V,,According to specific regulatory requirements,,WD,,Grid voltage level 2 over-voltage protection point
35,gridvoltlimit2lowtime,GridVoltLimit2LowTime,cycles,,According to specific regulatory requirements,,WD,,Grid voltage level 2 under-voltage protection time
36,gridvoltlimit2hightime,GridVoltLimit2HighTime,cycles,,According to specific regulatory requirements,,WD,,Grid voltage level 2 over-voltage protection time
37,gridvoltlimit3low,GridVoltLimit3Low,0.1V,,According to specific regulatory requirements,,WD,,Grid voltage level 3 under-voltage protection point
38,gridvoltlimit3high,GridVoltLimit3High,0.1V,,According to specific regulatory requirements,,WD,,Grid voltage level 3 over-voltage protection point
39,gridvoltlimit3lowtime,GridVoltLimit3LowTime,cycles,,According to specific regulatory requirements,,WD,,Grid voltage level 3 under-voltage protection time
40,gridvoltlimit3hightime,GridVoltLimit3HighTime,cycles,,According to specific regulatory requirements,,WD,,Grid voltage level 3 over-voltage protection time
41,gridvoltmovavghigh,GridVoltMovAvgHigh,0.1V,,According to specific regulatory,,WD,,Grid voltage sliding average over-voltage protection point
42,gridfreqlimit1low,GridFreqLimit1Low,0.01Hz,,According to specific regulatory requirements,,WD,,Grid frequency level 1 under-frequency protection point
43,gridfreqlimit1high,GridFreqLimit1High,0.01Hz,,According to specific regulatory requirements,,WD,,Grid frequency level 1 over-frequency protection point
44,gridfreqlimit1lowtime,GridFreqLimit1LowTime,cycles,,According to specific regulatory requirements,,WD,,Grid frequency level 1 under-frequency protection time
45,gridfreqlimit1hightime,GridFreqLimit1HighTime,cycles,,According to specific regulatory requirements,,WD,,Grid frequency level 1 over-frequency protection time
46,gridfreqlimit2low,GridFreqLimit2Low,0.01Hz,,According to specific regulatory requirements,,WD,,Grid frequency level 2 under-frequency protection point
